TIME_ID,Y,TIME
2016/4/27 18:09 PA4G79.00_25,0.11,2016/4/27 18:09
2016/4/28 03:04 P32W41.00_13,0.37,2016/4/28 03:04
2016/4/28 03:16 P32W96.00_11,0.25,2016/4/28 03:16
2016/4/28 13:47 P2RX46.00_02,0.24,2016/4/28 13:47
2016/4/28 14:40 P32W41.00_25,0,2016/4/28 14:40
2016/4/29 11:04 PA0N93.00_01,0.17,2016/4/29 11:04
2016/4/29 11:04 PA0N93.00_02,0.11,2016/4/29 11:04
2016/4/29 11:04 PA0N93.00_03,0,2016/4/29 11:04
2016/4/29 11:04 PA0N93.00_04,0.11,2016/4/29 11:04
2016/4/29 11:04 PA0N93.00_05,0.11,2016/4/29 11:04
2016/4/29 11:04 PA0N93.00_06,0.06,2016/4/29 11:04
2016/4/29 21:13 PA3U65.00_02,0,2016/4/29 21:13
2016/4/30 03:09 PA4G78.00_02,0.45,2016/4/30 03:09
2016/4/30 23:53 PA7X25.00_19,0.81,2016/4/30 23:53
2016/5/1 05:57 P32W98.00_04,1.64,2016/5/1 05:57
2016/5/1 23:19 PA4G83.00_15,0.06,2016/5/1 23:19
2016/5/1 23:19 PA4G83.00_17,0.06,2016/5/1 23:19
2016/5/1 23:19 PA4G83.00_25,0.28,2016/5/1 23:19
2016/5/2 11:05 PA3U45.00_13,0.98,2016/5/2 11:05
2016/5/2 11:05 PA3U45.00_25,0.86,2016/5/2 11:05
2016/5/2 15:52 PA4G80.00_16,0.09,2016/5/2 15:52
2016/5/2 15:52 PA4G80.00_17,0.08,2016/5/2 15:52
2016/5/2 15:52 PA4G80.00_18,0.17,2016/5/2 15:52
2016/5/2 17:28 PA4G83.00_13,0,2016/5/2 17:28
2016/5/2 18:06 PA4G80.00_19,0,2016/5/2 18:06
2016/5/2 18:14 PA0N88.0D_02,0.22,2016/5/2 18:14
2016/5/2 18:16 PA4G86.0D_01,0,2016/5/2 18:16
2016/5/2 21:19 PA4G86.0D_02,0.03,2016/5/2 21:19
2016/5/2 21:19 PA4G86.0D_03,0.03,2016/5/2 21:19
2016/5/3 05:43 PA0N92.00_13,0,2016/5/3 05:43
2016/5/4 11:14 PA4G68.00_25,0.11,2016/5/4 11:14
2016/5/4 21:38 PA3U46.00_25,0.12,2016/5/4 21:38
2016/5/5 10:40 P32W65.00_02,1.85,2016/5/5 10:40
2016/5/5 10:40 P32W65.00_25,2.34,2016/5/5 10:40
2016/5/8 02:14 P32W55.00_02,1.97,2016/5/8 02:14
2016/5/8 04:21 PA4G67.00_25,0.62,2016/5/8 04:21
2016/5/8 04:48 P32W55.00_05,1.85,2016/5/8 04:48
2016/5/8 05:07 PA4G67.00_24,0.79,2016/5/8 05:07
2016/5/8 18:40 PA3U50.00_02,1.11,2016/5/8 18:40
2016/5/8 18:40 PA3U50.00_13,1.23,2016/5/8 18:40
2016/5/9 05:05 P32X02.00_24,0.38,2016/5/9 05:05
2016/5/11 06:53 PA3U26.00_23,0,2016/5/11 06:53
2016/5/11 06:53 PA3U26.00_24,0,2016/5/11 06:53
2016/5/11 21:52 PA3U12.00_01,2.08,2016/5/11 21:52
2016/5/11 22:36 PA3U12.00_13,1.11,2016/5/11 22:36
2016/5/12 08:43 1P35P21.00_07,0.5,2016/5/12 08:43
2016/5/12 08:43 1P35P21.00_08,1.7,2016/5/12 08:43
2016/5/12 14:21 1P35P21.00_04,0,2016/5/12 14:21
2016/5/12 14:21 1P35P21.00_06,0,2016/5/12 14:21
2016/5/12 20:06 PA3U57.00_01,0.57,2016/5/12 20:06
2016/5/12 20:06 PA3U57.00_03,2.02,2016/5/12 20:06
2016/5/12 20:06 PA3U57.00_06,2.14,2016/5/12 20:06
2016/5/12 23:35 PA3U57.00_07,0,2016/5/12 23:35
2016/5/13 01:40 PA3U57.00_12,0,2016/5/13 01:40
2016/5/13 01:40 PA3U57.00_19,0,2016/5/13 01:40
2016/5/13 01:40 PA3U57.00_24,0,2016/5/13 01:40
2016/5/13 01:40 PA3U57.00_25,0,2016/5/13 01:40
2016/5/13 02:07 PA3U57.00_02,0,2016/5/13 02:07
2016/5/13 02:07 PA3U57.00_04,0,2016/5/13 02:07
2016/5/13 02:07 PA3U57.00_10,0,2016/5/13 02:07
2016/5/13 17:38 PA3U43.00_21,0.44,2016/5/13 17:38
2016/5/13 18:34 PA3U77.00_23,0,2016/5/13 18:34
2016/5/13 18:40 PA3U43.00_23,0.82,2016/5/13 18:40
2016/5/13 21:04 PA3U58.00_05,1.32,2016/5/13 21:04
2016/5/13 22:34 PA3U22.00_02,0.43,2016/5/13 22:34
2016/5/14 03:39 PA3U71.00_24,0.19,2016/5/14 03:39
2016/5/14 06:37 PA3U20.00_02,0.12,2016/5/14 06:37
2016/5/14 19:25 PA3U27.00_25,0,2016/5/14 19:25
2016/5/15 13:26 PA3U27.00_23,0.73,2016/5/15 13:26
2016/5/15 13:26 PA3U27.00_24,0.12,2016/5/15 13:26
2016/5/15 14:46 PA0N37.01_25,0.06,2016/5/15 14:46
2016/5/15 18:51 PA9U78.00_24,0.06,2016/5/15 18:51
2016/5/15 20:33 PA9U78.00_02,0,2016/5/15 20:33
2016/5/16 05:31 PA9U79.00_13,0.06,2016/5/16 05:31
2016/5/16 11:53 PA7X16.00_04,0.11,2016/5/16 11:53
2016/5/17 13:37 PA9U64.00_25,0.17,2016/5/17 13:37
2016/5/18 10:10 PA7X21.00_04,0,2016/5/18 10:10
2016/5/18 10:10 PA7X21.00_07,0,2016/5/18 10:10
2016/5/18 22:54 PA9U78.00_25,0.06,2016/5/18 22:54
2016/5/20 01:51 PA9U67.00_20,0,2016/5/20 01:51
2016/5/20 01:51 PA9U67.00_21,0,2016/5/20 01:51
2016/5/20 01:51 PA9U67.00_22,0,2016/5/20 01:51
2016/5/20 01:51 PA9U67.00_23,0.11,2016/5/20 01:51
2016/5/20 01:51 PA9U67.00_24,0,2016/5/20 01:51
2016/5/20 01:51 PA9U67.00_25,0.06,2016/5/20 01:51
2016/5/22 14:50 PA3U14.00_25,0.29,2016/5/22 14:50
2016/5/24 17:40 PA0N73.00_02,0.06,2016/5/24 17:40
2016/5/24 21:24 PA3U31.00_23,0.5,2016/5/24 21:24
2016/5/26 10:27 PA9U73.00_20,0.06,2016/5/26 10:27
2016/5/26 10:27 PA9U73.00_21,0.17,2016/5/26 10:27
2016/5/26 10:27 PA9U73.00_22,0.22,2016/5/26 10:27
2016/5/26 10:27 PA9U73.00_23,0.17,2016/5/26 10:27
2016/5/26 10:27 PA9U73.00_24,0.28,2016/5/26 10:27
2016/5/26 10:27 PA9U73.00_25,0.17,2016/5/26 10:27
2016/5/27 22:11 PA9U71.00_25,0.06,2016/5/27 22:11
2016/5/28 03:05 PA9U73.00_13,0.11,2016/5/28 03:05
2016/5/28 03:10 PA9U71.00_22,0,2016/5/28 03:10
2016/5/28 03:10 PA9U71.00_24,0,2016/5/28 03:10
2016/6/4 05:38 PAKB48.00_25,0.17,2016/6/4 05:38
2016/6/4 09:15 PAKB48.00_02,0.11,2016/6/4 09:15
2016/6/10 11:46 PAKB68.00_25,0.06,2016/6/10 11:46
2016/6/21 09:34 PAKB66.00_19,0.11,2016/6/21 09:34
2016/6/25 17:25 PAKB41.00_03,0,2016/6/25 17:25
2016/6/25 20:28 PAKB42.00_24,0.17,2016/6/25 20:28
2016/6/25 20:28 PAKB42.00_25,0.06,2016/6/25 20:28
2016/6/26 23:59 PAKB42.00_13,0.11,2016/6/26 23:59
2016/6/29 10:38 PAUA25.00_25,0,2016/6/29 10:38
2016/7/3 01:40 PAUA63.00_25,0.11,2016/7/3 01:40
2016/7/3 16:12 PAKB39.00_14,0,2016/7/3 16:12
2016/7/3 16:12 PAKB39.00_15,0.03,2016/7/3 16:12
2016/7/3 16:12 PAKB39.00_22,0.06,2016/7/3 16:12
2016/7/3 16:12 PAKB39.00_25,0.11,2016/7/3 16:12
2016/7/3 21:56 PASY48.00_13,0,2016/7/3 21:56
2016/7/4 00:10 PAUA77.00_01,0,2016/7/4 00:10
2016/7/4 01:14 PAUA65.00_07,0,2016/7/4 01:14
2016/7/4 01:14 PAUA65.00_08,0,2016/7/4 01:14
2016/7/4 01:14 PAUA65.00_09,0,2016/7/4 01:14
2016/7/4 01:14 PAUA65.00_10,0,2016/7/4 01:14
2016/7/4 11:03 PAUA14.0H_13,0,2016/7/4 11:03
2016/7/4 20:52 PAUA63.00_13,0.17,2016/7/4 20:52
2016/7/5 11:46 PAKB56.00_02,0.06,2016/7/5 11:46
2016/7/6 17:54 PASY49.00_25,0.06,2016/7/6 17:54
2016/7/7 06:13 PAUA38.00_02,0,2016/7/7 06:13
2016/7/7 12:09 PAUA43.00_02,0.06,2016/7/7 12:09
2016/7/7 14:19 PAUA38.00_03,0.03,2016/7/7 14:19
2016/7/7 14:19 PAUA38.00_13,0.06,2016/7/7 14:19
2016/7/7 23:00 PAUA38.00_07,0,2016/7/7 23:00
2016/7/9 22:03 PAUA14.0H_25,0.11,2016/7/9 22:03
2016/7/11 13:54 PAWA65.00_13,0.06,2016/7/11 13:54
2016/7/12 06:48 PAKB28.00_25,0.12,2016/7/12 06:48
2016/7/13 02:20 PAKB25.00_25,0,2016/7/13 02:20
2016/7/15 20:30 PAUA46.00_13,0.03,2016/7/15 20:30
2016/7/16 13:26 PAWA95.00_21,0.39,2016/7/16 13:26
2016/7/16 20:13 PAWA85.00_21,0.03,2016/7/16 20:13
2016/7/16 20:13 PAWA85.00_22,0,2016/7/16 20:13
2016/7/17 03:01 PAUA28.00_02,0.22,2016/7/17 03:01
2016/7/17 07:12 PAUA28.00_25,0.11,2016/7/17 07:12
2016/7/17 16:17 PASA45.00_02,0,2016/7/17 16:17
2016/7/18 21:32 PAUA77.00_02,0.03,2016/7/18 21:32
2016/7/18 21:32 PAUA77.00_08,0,2016/7/18 21:32
2016/7/18 22:20 PAWA98.00_02,0.11,2016/7/18 22:20
2016/7/19 23:19 PASA95.00_02,0.37,2016/7/19 23:19
2016/7/21 01:28 PAWB00.00_04,0.67,2016/7/21 01:28
2016/7/21 01:28 PAWB00.00_08,0.89,2016/7/21 01:28
2016/7/21 01:28 PAWB00.00_19,0.17,2016/7/21 01:28
2016/7/21 01:28 PAWB00.00_22,0.39,2016/7/21 01:28
2016/7/21 04:36 PAWA54.00_17,0.22,2016/7/21 04:36
2016/7/21 22:06 PAWB01.00_03,0,2016/7/21 22:06
2016/7/21 22:06 PAWB01.00_05,0,2016/7/21 22:06
2016/7/21 22:06 PAWB01.00_08,0,2016/7/21 22:06
2016/7/23 08:59 PAWB01.00_09,0.33,2016/7/23 08:59
2016/7/23 08:59 PAWB01.00_10,0.22,2016/7/23 08:59
2016/7/23 08:59 PAWB01.00_25,0.17,2016/7/23 08:59
2016/7/23 12:11 PAWA90.00_23,0,2016/7/23 12:11
2016/7/23 12:21 PAWA90.00_22,0,2016/7/23 12:21
2016/7/23 21:58 PAWA45.00_24,0,2016/7/23 21:58
2016/7/23 21:58 PAWA45.00_25,0,2016/7/23 21:58
2016/7/24 02:59 PASA65.00_24,0.06,2016/7/24 02:59
2016/7/24 03:06 PAUA66.00_23,0.34,2016/7/24 03:06
2016/7/24 03:06 PAUA66.00_24,0.79,2016/7/24 03:06
2016/7/24 03:23 PAUA66.00_01,0.62,2016/7/24 03:23
2016/7/24 03:23 PAUA66.00_03,0.91,2016/7/24 03:23
2016/7/24 03:23 PAUA66.00_04,0.17,2016/7/24 03:23
2016/7/24 03:23 PAUA66.00_06,0.45,2016/7/24 03:23
2016/7/24 05:27 PASA65.00_13,0.06,2016/7/24 05:27
2016/7/24 08:57 PAWA90.00_01,0.68,2016/7/24 08:57
2016/7/24 08:57 PAWA90.00_02,0.96,2016/7/24 08:57
2016/7/24 08:57 PAWA90.00_04,0.45,2016/7/24 08:57
2016/7/24 08:57 PAWA90.00_05,1.02,2016/7/24 08:57
2016/7/24 11:20 PAWA66.00_01,0.17,2016/7/24 11:20
2016/7/24 11:20 PAWA66.00_02,0,2016/7/24 11:20
2016/7/24 11:36 PAWA66.00_04,0.06,2016/7/24 11:36
2016/7/24 11:36 PAWA66.00_25,0.23,2016/7/24 11:36
2016/7/24 12:42 PAWB08.00_03,0,2016/7/24 12:42
2016/7/24 12:42 PAWB08.00_04,0,2016/7/24 12:42
2016/7/24 13:46 PAWB02.00_25,0.03,2016/7/24 13:46
2016/7/24 14:35 PAUA33.00_24,0,2016/7/24 14:35
2016/7/24 14:35 PAUA33.00_25,0,2016/7/24 14:35
2016/7/24 15:38 PAWA76.00_02,1.11,2016/7/24 15:38
2016/7/24 15:38 PAWA76.00_03,0.45,2016/7/24 15:38
2016/7/24 16:36 PASA65.00_25,0.11,2016/7/24 16:36
2016/7/24 19:29 PASB14.00_13,0,2016/7/24 19:29
2016/8/8 10:28 PAWA46.00_07,0,2016/8/8 10:28
2016/8/8 10:28 PAWA46.00_10,0,2016/8/8 10:28
2016/8/8 10:28 PAWA46.00_11,0,2016/8/8 10:28
2016/8/8 10:28 PAWA46.00_13,0,2016/8/8 10:28
2016/8/8 10:28 PAWA46.00_17,0,2016/8/8 10:28
2016/8/8 18:14 PASA91.00_25,0,2016/8/8 18:14
2016/8/8 18:17 PAWA46.00_19,0,2016/8/8 18:17
2016/8/8 18:45 PAWA56.00_13,0.06,2016/8/8 18:45
2016/8/8 18:45 PAWA56.00_23,0,2016/8/8 18:45
2016/8/8 19:47 PAWA56.00_02,0,2016/8/8 19:47
2016/8/8 19:47 PAWA56.00_03,0,2016/8/8 19:47
2016/8/8 19:47 PAWA56.00_04,0,2016/8/8 19:47
2016/8/9 00:48 PAWA86.00_20,0,2016/8/9 00:48
2016/8/10 02:49 PAYA09.00_02,0,2016/8/10 02:49
2016/8/10 21:09 PASA77.00_05,0,2016/8/10 21:09
2016/8/11 11:03 PASA79.00_02,0,2016/8/11 11:03
2016/8/11 22:04 PASA61.00_25,0,2016/8/11 22:04
2016/8/12 05:04 PAYA08.00_25,0,2016/8/12 05:04
2016/8/12 13:10 PASA61.00_02,0,2016/8/12 13:10
2016/8/12 13:10 PASA61.00_03,0,2016/8/12 13:10
2016/8/12 13:10 PASA61.00_04,0,2016/8/12 13:10
2016/8/12 14:47 PASA64.00_13,0,2016/8/12 14:47
2016/8/12 15:16 PASA62.00_13,0,2016/8/12 15:16
2016/8/13 05:18 PASA61.00_11,0,2016/8/13 05:18
2016/8/13 07:38 PASA61.00_01,0.06,2016/8/13 07:38
2016/8/13 18:46 PAWA43.00_07,0,2016/8/13 18:46
2016/8/13 22:19 PB5H05.00_25,0,2016/8/13 22:19
2016/8/14 16:49 PASA48.00_25,0,2016/8/14 16:49
2016/8/14 18:04 PASA48.00_02,0,2016/8/14 18:04
2016/8/14 19:09 PB5H05.00_02,0,2016/8/14 19:09
2016/8/15 06:00 PASA71.00_25,0,2016/8/15 06:00
2016/8/15 09:49 PASA43.00_07,0,2016/8/15 09:49
2016/8/16 23:57 PB2H48.00_01,0,2016/8/16 23:57
2016/8/16 23:57 PB2H48.00_02,0,2016/8/16 23:57
2016/8/16 23:57 PB2H48.00_03,0,2016/8/16 23:57
2016/8/16 23:57 PB2H48.00_04,0,2016/8/16 23:57
2016/8/18 12:30 PAYA01.00_13,0,2016/8/18 12:30
2016/8/18 13:16 PAYA11.00_25,0,2016/8/18 13:16
2016/8/18 16:59 PB2G89.00_04,0,2016/8/18 16:59
2016/8/18 23:07 PB2G89.00_03,0,2016/8/18 23:07
2016/8/18 23:07 PB2G89.00_06,0,2016/8/18 23:07
2016/8/18 23:07 PB2G89.00_07,0,2016/8/18 23:07
2016/8/27 18:12 PB2M21.00_13,0,2016/8/27 18:12
2016/8/28 15:40 PB2M49.00_03,0,2016/8/28 15:40
2016/8/29 13:37 PB2M40.00_03,0,2016/8/29 13:37
2016/8/29 13:37 PB2M40.00_04,0,2016/8/29 13:37
2016/8/29 13:37 PB2M40.00_12,0,2016/8/29 13:37
2016/8/29 13:37 PB2M40.00_13,0,2016/8/29 13:37
2016/8/29 13:37 PB2M40.00_22,0,2016/8/29 13:37
2016/8/29 13:37 PB2M40.00_23,0,2016/8/29 13:37
2016/8/29 15:32 PB2M22.00_03,0,2016/8/29 15:32
2016/8/29 15:32 PB2M22.00_04,0,2016/8/29 15:32
2016/8/29 15:32 PB2M22.00_12,0,2016/8/29 15:32
2016/8/29 15:32 PB2M22.00_13,0,2016/8/29 15:32
2016/8/29 15:32 PB2M22.00_22,0,2016/8/29 15:32
2016/8/29 15:32 PB2M22.00_23,0,2016/8/29 15:32
2016/8/29 21:14 PB2M47.00_08,0,2016/8/29 21:14
2016/8/29 21:14 PB2M47.00_09,0,2016/8/29 21:14
2016/8/29 21:14 PB2M47.00_15,0,2016/8/29 21:14
2016/8/29 21:14 PB2M47.00_16,0,2016/8/29 21:14
2016/8/29 21:14 PB2M47.00_22,0,2016/8/29 21:14
2016/8/29 21:14 PB2M47.00_23,0,2016/8/29 21:14
2016/9/6 21:35 PB5G57.00_05,0,2016/9/6 21:35
2016/9/6 21:35 PB5G57.00_25,0,2016/9/6 21:35
2016/9/8 10:56 PB2H38.00_25,0,2016/9/8 10:56
2016/9/8 11:01 PB2H43.00_06,0,2016/9/8 11:01
2016/9/8 11:01 PB2H43.00_08,0,2016/9/8 11:01
2016/9/8 11:01 PB2H43.00_20,0,2016/9/8 11:01
2016/9/8 11:01 PB2H43.00_22,0,2016/9/8 11:01
2016/9/8 15:06 PAYA44.00_25,0,2016/9/8 15:06
2016/9/9 00:12 PB2H46.00_01,0,2016/9/9 00:12
2016/9/9 00:12 PB2H46.00_12,0,2016/9/9 00:12
2016/9/9 00:12 PB2H46.00_25,0,2016/9/9 00:12
2016/9/9 02:27 PB2H43.00_05,0,2016/9/9 02:27
2016/9/9 02:27 PB2H43.00_07,0,2016/9/9 02:27
2016/9/9 02:27 PB2H43.00_09,0,2016/9/9 02:27
2016/9/9 02:27 PB2H43.00_12,0,2016/9/9 02:27
2016/9/9 02:27 PB2H43.00_13,0,2016/9/9 02:27
2016/9/9 03:40 PB2H43.00_17,0,2016/9/9 03:40
2016/9/9 04:36 PB2H43.00_15,0,2016/9/9 04:36
2016/9/9 04:36 PB2H43.00_19,0,2016/9/9 04:36
2016/9/9 04:36 PB2H43.00_24,0,2016/9/9 04:36
2016/9/10 23:17 PB5H20.00_01,0,2016/9/10 23:17
2016/9/10 23:17 PB5H20.00_02,0,2016/9/10 23:17
2016/9/10 23:17 PB5H20.00_13,0,2016/9/10 23:17
2016/9/10 23:17 PB5H20.00_23,0,2016/9/10 23:17
2016/9/11 05:45 PB9G47.00_25,0,2016/9/11 05:45
2016/9/11 22:35 PB9G55.03_25,0,2016/9/11 22:35
2016/9/13 20:55 PB9G47.00_16,0,2016/9/13 20:55
2016/9/13 20:55 PB9G47.00_22,0,2016/9/13 20:55
2016/9/17 22:23 PB2M35.00_13,0,2016/9/17 22:23
2016/9/19 04:24 PB5G80.00_13,0,2016/9/19 04:24
2016/9/20 16:58 PB9G80.00_20,0,2016/9/20 16:58
2016/9/20 16:58 PB9G80.00_21,0,2016/9/20 16:58
2016/9/20 16:58 PB9G80.00_22,0,2016/9/20 16:58
2016/9/20 16:58 PB9G80.00_23,0,2016/9/20 16:58
2016/9/20 16:58 PB9G80.00_24,0,2016/9/20 16:58
2016/9/20 16:58 PB9G80.00_25,0,2016/9/20 16:58
2016/9/20 21:13 PB9G65.00_02,0,2016/9/20 21:13
2016/9/20 21:13 PB9G65.00_03,0,2016/9/20 21:13
2016/9/21 18:20 PB2M31.00_23,0,2016/9/21 18:20
2016/9/22 01:34 PB2M31.00_25,0,2016/9/22 01:34
2016/9/22 04:05 PB2M38.00_25,0,2016/9/22 04:05
2016/9/25 07:25 PB9H13.00_03,0,2016/9/25 07:25
2016/9/25 07:25 PB9H13.00_04,0,2016/9/25 07:25
2016/9/25 07:25 PB9H13.00_05,0,2016/9/25 07:25
2016/9/25 07:25 PB9H13.00_06,0,2016/9/25 07:25
2016/9/25 07:25 PB9H13.00_07,0,2016/9/25 07:25
2016/9/25 07:25 PB9H13.00_08,0,2016/9/25 07:25
2016/9/26 08:21 PB9G90.00_25,0,2016/9/26 08:21
2016/9/26 21:28 PB9G81.00_25,0,2016/9/26 21:28
2016/9/26 23:37 PB9G60.00_25,0,2016/9/26 23:37
2016/9/28 13:28 PB9G79.00_02,0,2016/9/28 13:28
2016/9/29 05:36 PB9G36.00_13,0,2016/9/29 05:36
2016/9/30 04:47 PB9G36.00_11,0,2016/9/30 04:47
2016/9/30 11:02 PB6H17.00_05,0,2016/9/30 11:02
2016/9/30 11:02 PB6H17.00_06,0,2016/9/30 11:02
